time,velocity,angle of road,acceleration,rolling resistance,air resistance,gradient resistance,inertial resistance,total resistance,total power,effective power,battery capacity,range
149.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.07094808421256,61.26023470012478
150.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.05938609487193,61.25301247791092
151.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.04782410553128,61.2457902556887
152.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.03626211619064,61.23856803346648
153.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.02470012685,61.231345811244246
154.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.01313813750936,61.224123589022035
155.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.00157614816871,61.21690136679981
156.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.99001415882806,61.209679144569215
157.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.97845216948743,61.20245692235536
158.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.96689018014678,61.19523470013315
159.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.95532819080614,61.188012477910924
160.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.9437662014655,61.18079025568869
161.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.93220421212484,61.1735680334581
162.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.92064222278421,61.166345811244256
163.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.90908023344356,61.15912358901367
164.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.89751824410293,61.151901366799805
165.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.88595625476228,61.14467914457759
166.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.87439426542164,61.13745692235537
167.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,97.862832276081,61.13023470013314
